YEAR,MONTH,DAY,ORDER,COUNTRY,SESSION_ID,PAGE_1_MAIN_CATEGORY,PAGE_2_CLOTHING_MODEL,COLOUR,LOCATION,MODEL_PHOTOGRAPHY,PRICE,PRICE_2_HIGHER_THAN_AVG,PAGE,PURCHASE_COMPLETED,REVENUE
2008,7,26,40,31.0,1000,3,190,1,5,1,60.5,1,3,2,85.23
2008,8,30,3,12.0,1001,2,136,3,5,1,166.85,2,4,2,198.25
2008,6,7,26,33.0,1002,1,84,14,1,2,421.39,2,3,2,553.35
2008,8,4,14,12.0,1003,4,145,5,4,2,79.21,1,5,2,91.97
2008,8,29,41,25.0,1004,3,5,3,1,1,420.88,1,4,2,599.12
2008,5,24,8,38.0,1005,2,191,3,1,1,317.13,2,4,2,370.16
2008,6,20,49,18.0,1006,3,113,1,3,1,74.82,2,1,1,103.43
2008,6,7,16,19.0,1007,4,137,8,1,1,88.4,1,2,2,102.58
2008,6,4,42,3.0,1008,1,136,9,5,2,333.29,1,2,2,475.76
2008,8,29,21,35.0,1009,4,7,5,1,2,365.94,1,1,2,476.15
2008,7,12,10,5.0,1010,2,37,1,2,1,329.59,1,5,2,416.92
2008,6,5,25,35.0,1011,2,55,1,5,1,358.46,2,5,2,442.6
2008,8,23,38,27.0,1012,3,67,9,6,1,183.98,1,2,2,252.99
2008,5,29,22,37.0,1013,1,136,14,3,1,5.71,2,3,2,6.48
2008,7,30,49,46.0,1014,1,69,1,1,2,266.81,2,1,2,384.87
2008,5,30,48,21.0,1015,2,5,9,2,1,299.29,2,3,2,420.35
2008,7,29,47,16.0,1016,3,17,3,6,2,345.39,1,1,2,431.45
2008,8,26,46,28.0,1017,4,111,3,2,1,119.5,2,1,2,178.18
2008,4,19,4,25.0,1018,4,58,13,5,2,89.26,1,2,2,127.89
2008,7,26,4,33.0,1019,2,191,4,1,1,416.0,2,2,2,502.66
2008,5,5,30,17.0,1020,2,155,5,2,1,421.44,1,3,2,613.24
2008,8,27,2,43.0,1021,4,104,6,1,2,493.87,1,5,2,562.81
2008,7,30,29,30.0,1022,4,113,14,5,2,173.18,2,4,2,238.27
2008,4,19,43,41.0,1023,4,204,6,4,2,34.21,2,3,2,39.43
2008,4,21,36,4.0,1024,3,92,10,2,1,240.56,1,1,2,358.52
